risk,lines,row,column,cell_id,zone,multiplier,is_multiplier_cell,is_center_zone
low,5,0,0,0_0,outer,1.15,true,false
low,5,0,1,1_0,empty,0,false,false
low,5,0,2,2_0,empty,0,false,false
low,5,0,3,3_0,empty,0,false,false
low,5,0,4,4_0,outer,1.15,true,false
low,5,1,0,0_1,empty,0,false,false
low,5,1,1,1_1,middle,1.65,true,false
low,5,1,2,2_1,empty,0,false,false
low,5,1,3,3_1,middle,1.65,true,false
low,5,1,4,4_1,empty,0,false,false
low,5,2,0,0_2,empty,0,false,false
low,5,2,1,1_2,empty,0,false,false
low,5,2,2,2_2,center,2.4,true,true
low,5,2,3,3_2,empty,0,false,false
low,5,2,4,4_2,empty,0,false,false
low,5,3,0,0_3,empty,0,false,false
low,5,3,1,1_3,middle,1.65,true,false
low,5,3,2,2_3,empty,0,false,false
low,5,3,3,3_3,middle,1.65,true,false
low,5,3,4,4_3,empty,0,false,false
low,5,4,0,0_4,outer,1.15,true,false
low,5,4,1,1_4,empty,0,false,false
low,5,4,2,2_4,empty,0,false,false
low,5,4,3,3_4,empty,0,false,false
low,5,4,4,4_4,outer,1.15,true,false
low,6,0,0,0_0,outer,1.15,true,false
low,6,0,1,1_0,empty,0,false,false
low,6,0,2,2_0,empty,0,false,false
low,6,0,3,3_0,empty,0,false,false
low,6,0,4,4_0,empty,0,false,false
low,6,0,5,5_0,outer,1.15,true,false
low,6,1,0,0_1,empty,0,false,false
low,6,1,1,1_1,middle,1.65,true,false
low,6,1,2,2_1,empty,0,false,false
low,6,1,3,3_1,empty,0,false,false
low,6,1,4,4_1,middle,1.65,true,false
low,6,1,5,5_1,empty,0,false,false
low,6,2,0,0_2,empty,0,false,false
low,6,2,1,1_2,empty,0,false,false
low,6,2,2,2_2,center,2.4,true,true
low,6,2,3,3_2,center,2.4,true,true
low,6,2,4,4_2,empty,0,false,false
low,6,2,5,5_2,empty,0,false,false
low,6,3,0,0_3,empty,0,false,false
low,6,3,1,1_3,empty,0,false,false
low,6,3,2,2_3,center,2.4,true,true
low,6,3,3,3_3,center,2.4,true,true
low,6,3,4,4_3,empty,0,false,false
low,6,3,5,5_3,empty,0,false,false
low,6,4,0,0_4,empty,0,false,false
low,6,4,1,1_4,middle,1.65,true,false
low,6,4,2,2_4,empty,0,false,false
low,6,4,3,3_4,empty,0,false,false
low,6,4,4,4_4,middle,1.65,true,false
low,6,4,5,5_4,empty,0,false,false
low,6,5,0,0_5,outer,1.15,true,false
low,6,5,1,1_5,empty,0,false,false
low,6,5,2,2_5,empty,0,false,false
