layout_mode,risk,lines,row,column,cell_id,category,multiplier,category_with_multi_plus,multiplier_with_multi_plus,is_multiplier_cell,is_multi_plus_cell,is_center_zone
current,low,5,0,0,0_0,empty,0,empty,0,false,false,false
current,low,5,0,1,1_0,empty,0,empty,0,false,false,false
current,low,5,0,2,2_0,outer,0.57,outer,0.57,true,false,false
current,low,5,0,3,3_0,empty,0,empty,0,false,false,false
current,low,5,0,4,4_0,empty,0,empty,0,false,false,false
current,low,5,1,0,0_1,empty,0,empty,0,false,false,false
current,low,5,1,1,1_1,empty,0,multi_plus,1.3,false,true,false
current,low,5,1,2,2_1,middle,1.3,middle,1.3,true,false,false
current,low,5,1,3,3_1,empty,0,multi_plus,1.3,false,true,false
current,low,5,1,4,4_1,empty,0,empty,0,false,false,false
current,low,5,2,0,0_2,outer,0.57,outer,0.57,true,false,false
current,low,5,2,1,1_2,middle,1.3,middle,1.3,true,false,false
current,low,5,2,2,2_2,center,2.29,center,2.29,true,false,true
current,low,5,2,3,3_2,middle,1.3,middle,1.3,true,false,false
current,low,5,2,4,4_2,outer,0.57,outer,0.57,true,false,false
current,low,5,3,0,0_3,empty,0,empty,0,false,false,false
current,low,5,3,1,1_3,empty,0,multi_plus,1.3,false,true,false
current,low,5,3,2,2_3,middle,1.3,middle,1.3,true,false,false
current,low,5,3,3,3_3,empty,0,multi_plus,1.3,false,true,false
current,low,5,3,4,4_3,empty,0,empty,0,false,false,false
current,low,5,4,0,0_4,empty,0,empty,0,false,false,false
current,low,5,4,1,1_4,empty,0,empty,0,false,false,false
current,low,5,4,2,2_4,outer,0.57,outer,0.57,true,false,false
current,low,5,4,3,3_4,empty,0,empty,0,false,false,false
current,low,5,4,4,4_4,empty,0,empty,0,false,false,false
current,low,6,0,0,0_0,empty,0,empty,0,false,false,false
current,low,6,0,1,1_0,empty,0,empty,0,false,false,false
current,low,6,0,2,2_0,outer,0.68,outer,0.68,true,false,false
current,low,6,0,3,3_0,outer,0.68,outer,0.68,true,false,false
current,low,6,0,4,4_0,empty,0,empty,0,false,false,false
current,low,6,0,5,5_0,empty,0,empty,0,false,false,false
current,low,6,1,0,0_1,empty,0,multi_plus,1.56,false,true,false
current,low,6,1,1,1_1,empty,0,multi_plus,1.56,false,true,false
current,low,6,1,2,2_1,middle,1.56,middle,1.56,true,false,false
current,low,6,1,3,3_1,middle,1.56,middle,1.56,true,false,false
current,low,6,1,4,4_1,empty,0,multi_plus,1.56,false,true,false
current,low,6,1,5,5_1,empty,0,multi_plus,1.56,false,true,false
