layout_mode,risk,lines,pucks,calculated_rtp,simulated_rtp,hit_frequency,win_above_bet_frequency,bonus_frequency,multi_plus_frequency,base_bonus_frequency,bonus_frequency_multiplier,baseline_paid_bonus_win_frequency,paid_bonus_win_frequency,paid_bonus_win_frequency_multiplier,one_of_two_star_probability,two_of_three_star_probability,base_game_rtp_contribution,bonus_rtp_contribution,bonus_rtp_share,max_win,variance,standard_deviation,terminal_x_hit_probability,terminal_empty_probability,terminal_center_probability,multiplier_cell_count,multiplier_cell_density,empty_cell_count,empty_cell_density,visible_multiplier_density,center_zone_cell_count,middle_zone_cell_count,outer_zone_cell_count,average_visible_multiplier_value,max_visible_multiplier_value,multi_plus_extra_cell_count,visible_multiplier_density_with_multi_plus,pocket_hit_probability_per_puck,pocket_round_probability,first_generation_repocket_probability,second_generation_repocket_probability,expected_terminal_balls_per_initial_ball,status
current,low,5,1,0.9745,0.94886,0.67871667,0.4024,0.025,0.06,0.0056329,2.5,0.00442287,0.01696792,3.83640725,0.85,0.85,0.7955102041,0.1789897959,0.18367347,618.3,3.43115597,1.85233797,0.65905827,0.34094173,0.0732286971,9,0.36,16,0.64,0.36,1,4,4,1.085556,2.29,4,0.52,0.045,0.045,0.035,0.006,1.0996201,PASS
current,low,5,2,0.9745,0.9530265,0.89622449,0.28336667,0.025,0.06,0.00584795,2.5,0.00557032,0.02240561,4.02231688,0.85,0.85,0.7955102041,0.1789897959,0.18367347,618.3,2.34241098,1.5304937,0.65905827,0.34094173,0.0732286971,9,0.36,16,0.64,0.36,1,4,4,1.085556,2.29,4,0.52,0.045,0.087975,0.035,0.006,1.0996201,PASS
current,low,5,3,0.9745,0.96723433,0.96635175,0.3162,0.025,0.06,0.0060638,2.5,0.0059989,0.02415879,4.02720448,0.85,0.85,0.7955102041,0.1789897959,0.18367347,618.3,1.97949598,1.40694562,0.65905827,0.34094173,0.0732286971,9,0.36,16,0.64,0.36,1,4,4,1.085556,2.29,4,0.52,0.045,0.12901613,0.035,0.006,1.0996201,PASS
current,low,6,1,0.9745,0.958904,0.49512519,0.31033333,0.025,0.052,0.00672385,2.5,0.00382129,0.01237813,3.23925661,0.85,0.85,0.7955102041,0.1789897959,0.18367347,842.4,5.2716847,2.29601496,0.47528887,0.52471113,0.0950577733,20,0.55555556,16,0.44444444,0.55555556,4,8,8,1.52,3.12,8,0.77777778,0.042,0.042,0.035,0.006,1.09297876,PASS
current,low,6,2,0.9745,0.955954,0.74488898,0.33023333,0.025,0.052,0.00698305,2.5,0.00567263,0.01862222,3.2828174,0.85,0.85,0.7955102041,0.1789897959,0.18367347,842.4,3.26167312,1.80601028,0.47528887,0.52471113,0.0950577733,20,0.55555556,16,0.44444444,0.55555556,4,8,8,1.52,3.12,8,0.77777778,0.042,0.082236,0.035,0.006,1.09297876,PASS
current,low,6,3,0.9745,0.982788,0.87099884,0.39233333,0.025,0.052,0.00724339,2.5,0.00664853,0.02177497,3.27515455,0.85,0.85,0.7955102041,0.1789897959,0.18367347,842.4,2.59166926,1.60986622,0.47528887,0.52471113,0.0950577733,20,0.55555556,16,0.44444444,0.55555556,4,8,8,1.52,3.12,8,0.77777778,0.042,0.12078209,0.035,0.006,1.09297876,PASS
current,normal,7,1,0.9745,0.974571,0.33473272,0.3344,0.025,0.044,0.00782046,2.5,0.00298295,0.00836832,2.805379,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1579.5,7.68633636,2.77242427,0.31711775,0.68288225,0.0243936731,13,0.26530612,36,0.73469388,0.26530612,1,8,4,2.29,5.85,12,0.51020408,0.038,0.038,0.035,0.006,1.08412364,PASS
current,normal,7,2,0.9745,0.9548955,0.55721126,0.42613333,0.025,0.044,0.00812484,2.5,0.0050044,0.01393028,2.78360681,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1579.5,4.47044723,2.11434321,0.31711775,0.68288225,0.0243936731,13,0.26530612,36,0.73469388,0.26530612,1,8,4,2.29,5.85,12,0.51020408,0.038,0.074556,0.035,0.006,1.08412364,PASS
current,normal,7,3,0.9745,0.96728667,0.7051635,0.2993,0.025,0.044,0.00843079,2.5,0.00641308,0.01762909,2.74892803,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1579.5,3.39848419,1.84349781,0.31711775,0.68288225,0.0243936731,13,0.26530612,36,0.73469388,0.26530612,1,8,4,2.29,5.85,12,0.51020408,0.038,0.10972287,0.035,0.006,1.08412364,PASS
current,normal,8,1,0.9745,0.980616,0.22516745,0.22696667,0.025,0.036,0.00892481,2.5,0.0022725,0.00562919,2.47708998,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2457,13.81613704,3.71700646,0.21313633,0.78686367,0.0304480469,28,0.4375,36,0.5625,0.4375,4,16,8,3.454286,9.1,12,0.625,0.034,0.034,0.035,0.006,1.07526852,PASS
current,normal,8,2,0.9745,0.973908,0.39959714,0.30656667,0.025,0.036,0.00927553,2.5,0.00411176,0.00998993,2.42960069,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2457,7.53349044,2.74472047,0.21313633,0.78686367,0.0304480469,28,0.4375,36,0.5625,0.4375,4,16,8,3.454286,9.1,12,0.625,0.034,0.066844,0.035,0.006,1.07526852,PASS
