config_id,risk,lines,pucks,target_rtp,calculated_rtp,simulated_rtp,total_runs,hit_frequency,win_above_bet_frequency,bonus_frequency,max_win_multiplier,standard_deviation,variance,empty_hit_weight,outer_hit_weight,middle_hit_weight,center_hit_weight,bonus_rtp_contribution,base_game_rtp_contribution,bonus_rtp_share,puck_radius,fixed_launch_force,minimum_bounces,volatility,status,outer_multiplier,middle_multiplier,center_multiplier
low-5-1,low,5,1,0.9745,0.9745,0.97448708,1000000,0.63832097,0.63832097,0.0056329,21.7,1.11525887,1.24380234,0.36167903,0.35107654,0.22341234,0.0638321,0.04701963,0.92748038,0.04825,0.1,1250,3,LOW,PASS,1.21,1.63,2.17
low-5-2,low,5,2,0.9745,0.9745,0.97479347,1000000,0.87120401,0.4594719,0.00584795,21.7,0.9116457,0.83109789,0.35888158,0.35261513,0.22439145,0.06411184,0.048725,0.925775,0.05,0.1,1250,3,LOW,PASS,1.2,1.62,2.17
low-5-3,low,5,3,0.9745,0.9745,0.97453854,1000000,0.95349193,0.40422146,0.0060638,21.6,0.83968303,0.70506759,0.35961911,0.35220949,0.22413331,0.06403809,0.05043037,0.92406963,0.05175,0.1,1250,3,LOW,PASS,1.2,1.62,2.16
low-6-1,low,6,1,0.9745,0.9745,0.97308234,1000000,0.63878955,0.63878955,0.00554726,21.7,1.11061484,1.23346531,0.36121045,0.35133425,0.22357634,0.06387895,0.04633879,0.92816121,0.04755135,0.08333333333333333,1250,3,LOW,PASS,1.21,1.63,2.17
low-6-2,low,6,2,0.9745,0.9745,0.97452831,1000000,0.87044005,0.45813626,0.00575889,21.7,0.90888667,0.82607498,0.35994437,0.3520306,0.22401947,0.06400556,0.04801947,0.92648053,0.04927601,0.08333333333333333,1250,3,LOW,PASS,1.2,1.63,2.17
low-6-3,low,6,3,0.9745,0.9745,0.9742163,1000000,0.95368799,0.40481444,0.00597128,21.6,0.83523232,0.69761303,0.35911306,0.35248782,0.22431043,0.06408869,0.04970015,0.92479985,0.05100067,0.08333333333333333,1250,3,LOW,PASS,1.2,1.62,2.16
low-7-1,low,7,1,0.9745,0.9745,0.97329106,1000000,0.63918042,0.63918042,0.00547592,21.7,1.10672596,1.22484235,0.36081958,0.35154923,0.22371315,0.06391804,0.04577084,0.92872916,0.04696854,0.07142857142857142,1250,3,LOW,PASS,1.21,1.63,2.17
low-7-2,low,7,2,0.9745,0.9745,0.97443122,1000000,0.87073259,0.45860217,0.00568469,21.7,0.90516135,0.81931707,0.35953777,0.35225422,0.22416178,0.06404622,0.04743093,0.92706907,0.04867206,0.07142857142857142,1250,3,LOW,PASS,1.2,1.63,2.17
low-7-3,low,7,3,0.9745,0.9745,0.97330178,1000000,0.95385112,0.40530963,0.00589421,21.6,0.83149813,0.69138913,0.35869093,0.35271999,0.22445818,0.06413091,0.04909101,0.92540899,0.05037559,0.07142857142857142,1250,3,LOW,PASS,1.2,1.62,2.16
low-8-1,low,8,1,0.9745,0.9745,0.97394629,1000000,0.63951514,0.63951514,0.0054149,21.7,1.10338491,1.21745827,0.36048486,0.35173333,0.2238303,0.06395151,0.0452845,0.9292155,0.04646947,0.0625,1250,3,LOW,PASS,1.21,1.63,2.17
low-8-2,low,8,2,0.9745,0.9745,0.97296504,1000000,0.86923442,0.45604082,0.00562123,21.7,0.90331238,0.81597325,0.36161524,0.35111162,0.22343467,0.06383848,0.04692694,0.92757306,0.04815489,0.0625,1250,3,LOW,PASS,1.21,1.63,2.17
low-8-3,low,8,3,0.9745,0.9745,0.97431359,1000000,0.95381912,0.40516764,0.0058283,21.7,0.82885854,0.68700648,0.35877381,0.3526744,0.22442917,0.06412262,0.04856938,0.92593062,0.04984031,0.0625,1250,3,LOW,PASS,1.2,1.62,2.17
low-9-1,low,9,1,0.9745,0.9745,0.97343511,1000000,0.63980743,0.63980743,0.00536167,21.7,1.10045909,1.2110102,0.36019257,0.35189409,0.2239326,0.06398074,0.0448598,0.9296402,0.04603366,0.05555555555555555,1250,3,LOW,PASS,1.21,1.63,2.17
low-9-2,low,9,2,0.9745,0.9745,0.97398961,1000000,0.86945339,0.45638701,0.00556587,21.7,0.90050425,0.8109079,0.36131235,0.35127821,0.22354068,0.06386877,0.04648684,0.92801316,0.04770328,0.05555555555555555,1250,3,LOW,PASS,1.21,1.63,2.17
low-9-3,low,9,3,0.9745,0.9745,0.97481113,1000000,0.95334027,0.40356282,0.0057708,21.7,0.82727482,0.68438362,0.36000959,0.35199473,0.22399664,0.06399904,0.04811388,0.92638612,0.04937289,0.05555555555555555,1250,3,LOW,PASS,1.2,1.63,2.17
low-10-1,low,10,1,0.9745,0.9745,0.97392264,1000000,0.63962636,0.63962636,0.00531451,21.8,1.09911677,1.20805767,0.36037364,0.3517945,0.22386923,0.06396264,0.04448328,0.93001672,0.04564728,0.05,1250,3,LOW,PASS,1.21,1.63,2.18
low-10-2,low,10,2,0.9745,0.9745,0.97576039,1000000,0.86964737,0.45669408,0.00551684,21.7,0.89800636,0.80641543,0.36104381,0.3514259,0.22363467,0.06389562,0.04609666,0.92840334,0.04730288,0.05,1250,3,LOW,PASS,1.21,1.63,2.17
low-10-3,low,10,3,0.9745,0.9745,0.97528978,1000000,0.95344866,0.40388954,0.00571987,21.7,0.8247673,0.68024111,0.3597306,0.35214817,0.22409429,0.06402694,0.04771004,0.92678996,0.04895848,0.05,1250,3,LOW,PASS,1.2,1.63,2.17
normal-5-1,normal,5,1,0.9745,0.9745,0.9748111,1000000,0.42000308,0.42000308,0.00929538,44.8,1.92483457,3.70498814,0.57999692,0.20160148,0.15540114,0.06300046,0.0752314,0.8992686,0.0772,0.1,1250,3,MEDIUM,PASS,1.28,2.31,4.48
normal-5-2,normal,5,2,0.9745,0.9745,0.97272233,1000000,0.66330775,0.4317496,0.00966184,44.7,1.48121338,2.19399309,0.58025188,0.2014791,0.1553068,0.06296222,0.07796,0.89654,0.08,0.1,1250,3,MEDIUM,PASS,1.28,2.3,4.47
normal-5-3,normal,5,3,0.9745,0.9745,0.97525283,1000000,0.80533077,0.37872565,0.01003053,44.6,1.30515789,1.70343711,0.57956094,0.20181075,0.15556245,0.06306586,0.0806886,0.8938114,0.0828,0.1,1250,3,MEDIUM,PASS,1.27,2.29,4.46
normal-6-1,normal,6,1,0.9745,0.9745,0.97405769,1000000,0.42021747,0.42021747,0.0091497,44.9,1.91915668,3.68316236,0.57978253,0.20170438,0.15548046,0.06303262,0.07414206,0.90035794,0.07608215,0.08333333333333333,1250,3,MEDIUM,PASS,1.28,2.31,4.49
normal-6-2,normal,6,2,0.9745,0.9745,0.97523741,1000000,0.66357875,0.4319495,0.00950996,44.8,1.47599982,2.17857546,0.58001832,0.20159121,0.15539322,0.06299725,0.07683115,0.89766885,0.07884161,0.08333333333333333,1250,3,MEDIUM,PASS,1.28,2.3,4.48
normal-6-3,normal,6,3,0.9745,0.9745,0.97490476,1000000,0.80419295,0.3773309,0.00987238,44.6,1.29969015,1.68919447,0.58068789,0.20126981,0.15514548,0.06289682,0.07952024,0.89497976,0.08160107,0.08333333333333333,1250,3,MEDIUM,PASS,1.28,2.3,4.46
normal-7-1,normal,7,1,0.9745,0.9745,0.97713151,1000000,0.42064158,0.42064158,0.00902845,44.9,1.91275407,3.65862813,0.57935842,0.20190796,0.15563738,0.06309624,0.07323335,0.90126665,0.07514967,0.07142857142857142,1250,3,MEDIUM,PASS,1.28,2.31,4.49
normal-7-2,normal,7,2,0.9745,0.9745,0.97409556,1000000,0.66408963,0.43236395,0.00938356,44.8,1.47054049,2.16248932,0.57957775,0.20180268,0.15555623,0.06306334,0.07588948,0.89861052,0.0778753,0.07142857142857142,1250,3,MEDIUM,PASS,1.28,2.3,4.48
normal-7-3,normal,7,3,0.9745,0.9745,0.97554044,1000000,0.80435662,0.37746462,0.00974078,44.7,1.29552255,1.67837869,0.58052606,0.20134749,0.15520536,0.06292109,0.07854561,0.89595439,0.08060094,0.07142857142857142,1250,3,MEDIUM,PASS,1.28,2.3,4.47
normal-8-1,normal,8,1,0.9745,0.9745,0.97355328,1000000,0.41977049,0.41977049,0.00892481,45,1.90907984,3.64458582,0.58022951,0.20148983,0.15531508,0.06296557,0.0724552,0.9020448,0.07435115,0.0625,1250,3,MEDIUM,PASS,1.29,2.31,4.5
