config_id,risk,lines,pucks,simulation_runs,old_rtp,new_rtp,simulated_rtp,simulation_tolerance,simulation_error,old_hit_frequency,new_hit_frequency,old_win_above_bet_frequency,new_win_above_bet_frequency,old_bonus_frequency,new_bonus_frequency,base_bonus_frequency,bonus_frequency_multiplier,baseline_paid_bonus_win_frequency,paid_bonus_win_frequency,paid_bonus_win_frequency_multiplier,one_of_two_star_probability,two_of_three_star_probability,old_bonus_rtp_share,new_bonus_rtp_share,old_max_win,new_max_win,variance,standard_deviation,base_game_rtp_contribution,bonus_rtp_contribution,outer_multiplier,middle_multiplier,center_multiplier,status
low-5-1,low,5,1,5000000,0.9745,0.9745,0.97433273,0.0015,0.00016727,0.6383209738,0.5964719785,0.6383209738,0.5964719785,0.0056328985,0.0140822462,0.0056328985,2.5,0.0036030364,0.0083996652,2.3312740413,0.85,0.85,0.04825,0.1124839725,21.7,24,2.2723623733,1.5074356946,0.8648843688,0.1096156312,1.15,1.65,2.4,PASS
low-5-2,low,5,2,5000000,0.9745,0.9745,0.9741458,0.0015,0.0003542,0.8712040123,0.8351001799,0.4594719017,0.4073252063,0.0058479532,0.014619883,0.0058479532,2.5,0.0050835837,0.012209067,2.4016653618,0.85,0.85,0.05,0.1162790698,21.7,24,1.597664526,1.2639875498,0.8611860465,0.1133139535,1.15,1.65,2.4,PASS
low-5-3,low,5,3,5000000,0.9745,0.9745,0.9745511633,0.0015,0.0000511633,0.9534919336,0.9317742323,0.4042214614,0.3497613092,0.0060638017,0.0151595044,0.0060638017,2.5,0.0057744502,0.0141252355,2.446161099,0.85,0.85,0.05175,0.120055678,21.6,24,1.388539836,1.1783632021,0.8575057418,0.1169942582,1.15,1.65,2.4,PASS
low-6-1,low,6,1,100000,0.9745,0.9745,0.973682,0.0015,0.000818,0.6387895478,0.5974937341,0.6387895478,0.5974937341,0.0055472627,0.0138681569,0.0055472627,2.5,0.0035508649,0.0082861368,2.3335545117,0.85,0.85,0.0475513464,0.1109636588,21.7,24,2.2493090121,1.499769653,0.8663659145,0.1081340855,1.15,1.65,2.4,PASS
low-6-2,low,6,2,100000,0.9745,0.9745,0.97481275,0.0015,0.00031275,0.8704400541,0.8359548268,0.4581362637,0.4084362981,0.0057588868,0.014397217,0.0057588868,2.5,0.0050081837,0.012035423,2.4031512763,0.85,0.85,0.0492760066,0.1147112482,21.7,24,1.5807972675,1.257297605,0.8627138887,0.1117861113,1.15,1.65,2.4,PASS
low-6-3,low,6,3,5000000,0.9745,0.9745,0.97476495,0.0015,0.00026495,0.9536879922,0.9323164157,0.4048144392,0.3508894855,0.00597128,0.0149282001,0.00597128,2.5,0.0056875287,0.013917806,2.4470744327,0.85,0.85,0.0510006668,0.1184408254,21.6,24,1.3736145639,1.1720130391,0.8590794156,0.1154205844,1.15,1.65,2.4,PASS
low-7-1,low,7,1,5000000,0.9745,0.9745,0.97565636,0.0015,0.00115636,0.6391804241,0.5983475955,0.6391804241,0.5983475955,0.005475923,0.0136898074,0.005475923,2.5,0.0035073443,0.0081912633,2.3354602568,0.85,0.85,0.0469685415,0.1096931621,21.7,24,2.2300437637,1.4933331054,0.8676040135,0.1068959865,1.15,1.65,2.4,PASS
low-7-2,low,7,2,5000000,0.9745,0.9745,0.974320295,0.0015,0.000179705,0.8707325899,0.8366673788,0.4586021663,0.4093665757,0.0056846928,0.014211732,0.0056846928,2.5,0.0049453265,0.0118904926,2.4043897913,0.85,0.85,0.0486720638,0.1134009705,21.7,24,1.5666828654,1.2516720279,0.8639907542,0.1105092458,1.15,1.65,2.4,PASS
low-7-3,low,7,3,5000000,0.9745,0.9745,0.9752332333,0.0015,0.0007332333,0.9538511188,0.9327673529,0.4053096259,0.3518348723,0.0058942117,0.0147355293,0.0058942117,2.5,0.005615096,0.0137448206,2.4478335881,0.85,0.85,0.050375586,0.1170911612,21.6,24,1.3611149636,1.1666683177,0.8603946634,0.1141053366,1.15,1.65,2.4,PASS
low-8-1,low,8,1,100000,0.9745,0.9745,0.9739495,0.0015,0.0005505,0.6395151421,0.5990798895,0.6395151421,0.5990798895,0.0054149021,0.0135372552,0.0054149021,2.5,0.0034700765,0.0081098973,2.3370946738,0.85,0.85,0.04646947,0.1086035508,21.7,24,2.2135213814,1.4877907721,0.8686658398,0.1058341602,1.15,1.65,2.4,PASS
