kind,lines,zone,id,target_cell,duration,bounces,launch_force,landing_a,landing_b
entry,5,top,secret-entry-5-top-0,,1.8417,5,9000,-0.9001,-0.8998
entry,5,top,secret-entry-5-top-1,,2.35,4,9000,-0.8886,-0.8984
entry,5,top,secret-entry-5-top-2,,2.575,6,9000,-0.8962,-0.8855
entry,5,top,secret-entry-5-top-3,,2.725,8,9000,0.870723,0.86002
entry,5,top,secret-entry-5-top-4,,2.25,4,9000,-0.075057,-0.041632
entry,5,top,secret-entry-5-top-5,,1.9917,4,9000,-0.8947,-0.88
entry,5,top,secret-entry-5-top-6,,2.7833,6,9000,-0.8854,-0.8941
entry,5,top,secret-entry-5-top-7,,2.5583,6,9000,-0.8779,-0.899
entry,5,right,secret-entry-5-right-0,,2.4667,7,9000,0.8773,-0.9015
entry,5,right,secret-entry-5-right-1,,2.0417,5,9000,0.8899,-0.9015
entry,5,right,secret-entry-5-right-2,,2.6417,6,9000,0.8798,-0.8946
entry,5,right,secret-entry-5-right-3,,2.3417,4,9000,0.8897,-0.8943
entry,5,right,secret-entry-5-right-4,,2.4667,4,9000,0.8872,-0.8926
entry,5,right,secret-entry-5-right-5,,2.1,4,9000,0.8937,-0.894
entry,5,right,secret-entry-5-right-6,,2.1167,4,9000,0.8922,-0.8802
entry,5,right,secret-entry-5-right-7,,2.575,4,9000,0.8862,-0.8881
entry,5,bottom,secret-entry-5-bottom-0,,2.2917,6,9000,0.8746,0.8769
entry,5,bottom,secret-entry-5-bottom-1,,1.8917,6,9000,0.8646,0.87
entry,5,bottom,secret-entry-5-bottom-2,,2.1917,6,9000,0.8646,0.8888
entry,5,bottom,secret-entry-5-bottom-3,,2.1833,6,9000,0.8855,0.8818
entry,5,bottom,secret-entry-5-bottom-4,,2.1167,5,9000,0.8821,0.9016
entry,5,bottom,secret-entry-5-bottom-5,,2.4833,5,9000,0.8855,0.9006
entry,5,bottom,secret-entry-5-bottom-6,,2.5917,6,9000,0.8746,0.8957
entry,5,bottom,secret-entry-5-bottom-7,,2.5417,6,9000,0.8995,0.877
entry,5,left,secret-entry-5-left-0,,2.0417,4,9000,-0.8996,0.8801
entry,5,left,secret-entry-5-left-1,,2.0667,4,9000,-0.8971,0.8905
entry,5,left,secret-entry-5-left-2,,2.7167,6,9000,-0.8927,0.8803
entry,5,left,secret-entry-5-left-3,,2.0083,6,9000,0.731188,-0.427933
entry,5,left,secret-entry-5-left-4,,2.0917,4,9000,-0.8845,0.882
entry,5,left,secret-entry-5-left-5,,2.4333,4,9000,-0.901,0.9011
entry,5,left,secret-entry-5-left-6,,2.2,4,9000,-0.8838,0.8947
entry,5,left,secret-entry-5-left-7,,2.7667,4,9000,-0.877,0.8984
entry,6,top,secret-entry-6-top-0,,2.025,5,9000,-0.91825,-0.906667
entry,6,top,secret-entry-6-top-1,,2.05,4,9000,-0.899333,-0.916
entry,6,top,secret-entry-6-top-2,,2.625,6,9000,-0.90975,-0.915917
entry,6,top,secret-entry-6-top-3,,2.15,4,9000,-0.90775,-0.906083
entry,6,top,secret-entry-6-top-4,,2.2333,5,9000,-0.9175,-0.899583
entry,6,top,secret-entry-6-top-5,,2.675,6,9000,-0.914,-0.911
entry,6,top,secret-entry-6-top-6,,2.6667,6,9000,-0.906333,-0.911583
entry,6,top,secret-entry-6-top-7,,2.65,6,9000,-0.915583,-0.898833
entry,6,right,secret-entry-6-right-0,,1.8833,7,9000,0.896167,-0.916833
entry,6,right,secret-entry-6-right-1,,2,4,9000,0.895333,-0.90675
entry,6,right,secret-entry-6-right-2,,2.3333,7,9000,0.908667,-0.917583
entry,6,right,secret-entry-6-right-3,,2.3167,4,9000,0.910167,-0.914083
entry,6,right,secret-entry-6-right-4,,2.35,4,9000,0.915583,-0.91425
entry,6,right,secret-entry-6-right-5,,2,4,9000,0.9115,-0.9035
entry,6,right,secret-entry-6-right-6,,2.6167,6,9000,0.91,-0.908083
entry,6,right,secret-entry-6-right-7,,1.875,4,9000,0.9055,-0.906167
entry,6,bottom,secret-entry-6-bottom-0,,2.45,6,9000,0.891,0.890083
entry,6,bottom,secret-entry-6-bottom-1,,2.1833,6,9000,0.888333,0.902167
entry,6,bottom,secret-entry-6-bottom-2,,2.15,6,9000,0.9155,0.886833
entry,6,bottom,secret-entry-6-bottom-3,,2.1583,6,9000,0.907083,0.907917
entry,6,bottom,secret-entry-6-bottom-4,,2.1083,6,9000,0.902833,0.89125
entry,6,bottom,secret-entry-6-bottom-5,,2.35,6,9000,0.916083,0.906083
entry,6,bottom,secret-entry-6-bottom-6,,2.3333,6,9000,0.917417,0.917583
entry,6,bottom,secret-entry-6-bottom-7,,2.0583,5,9000,0.89875,0.917833
entry,6,left,secret-entry-6-left-0,,1.9417,4,9000,-0.91625,0.8965
entry,6,left,secret-entry-6-left-1,,2.1667,4,9000,-0.906083,0.89275
entry,6,left,secret-entry-6-left-2,,2.2167,6,9000,-0.910083,0.902833
entry,6,left,secret-entry-6-left-3,,2.55,4,9000,-0.91575,0.91
entry,6,left,secret-entry-6-left-4,,1.95,4,9000,-0.907667,0.904833
entry,6,left,secret-entry-6-left-5,,2.4083,4,9000,-0.90275,0.911417
entry,6,left,secret-entry-6-left-6,,2.6833,5,9000,-0.90475,0.91825
entry,6,left,secret-entry-6-left-7,,1.8917,4,9000,-0.912583,0.899917
entry,7,top,secret-entry-7-top-0,,2.725,6,9000,-0.929571,-0.929714
entry,7,top,secret-entry-7-top-1,,2.0417,4,9000,-0.928357,-0.914714
entry,7,top,secret-entry-7-top-2,,2.6583,6,9000,-0.927429,-0.924857
entry,7,top,secret-entry-7-top-3,,2.3417,4,9000,-0.928571,-0.921357
entry,7,top,secret-entry-7-top-4,,2.225,5,9000,-0.915143,-0.929357
entry,7,top,secret-entry-7-top-5,,2.3083,4,9000,-0.923857,-0.915714
entry,7,top,secret-entry-7-top-6,,2.7167,6,9000,-0.916071,-0.925643
entry,7,top,secret-entry-7-top-7,,2.7167,7,9000,-0.93,-0.912429
entry,7,right,secret-entry-7-right-0,,1.9,5,9000,0.909714,-0.928857
entry,7,right,secret-entry-7-right-1,,2.2167,4,9000,0.916071,-0.921786
entry,7,right,secret-entry-7-right-2,,1.9167,5,9000,0.930214,-0.919
entry,7,right,secret-entry-7-right-3,,2.5167,6,9000,0.798715,0.890454
entry,7,right,secret-entry-7-right-4,,2.2333,4,9000,0.921929,-0.922214
entry,7,right,secret-entry-7-right-5,,2.2917,4,9000,0.917714,-0.923286
entry,7,right,secret-entry-7-right-6,,2.275,6,9000,0.919,-0.920071
entry,7,right,secret-entry-7-right-7,,2.0583,4,9000,0.927357,-0.911286
entry,7,bottom,secret-entry-7-bottom-0,,2.3167,6,9000,0.908857,0.906929
entry,7,bottom,secret-entry-7-bottom-1,,2.3917,6,9000,0.903571,0.914143
entry,7,bottom,secret-entry-7-bottom-2,,2.4417,6,9000,0.907214,0.909857
